date,open,close,high,low,p_n_l
2024-11-19,90130.65,91910.03,93891.1,89967.0,1.97430217
2024-11-18,89317.88,90130.58,92137.0,89317.76,-0.0215086
2024-11-17,90220.89,90149.97,91325.6,88909.7,-0.07814191
2024-11-16,90771.7,90220.47,91627.88,88704.61,-0.6400216200000001
2024-11-15,86910.58,90801.62,91898.59,86910.58,4.47706137
2024-11-14,90877.28,86910.58,91587.13,86012.81,-4.3648973600000005
2024-11-13,87727.7,90877.28,93499.99,85978.01,3.726907
2024-11-12,88652.01,87612.06,89971.79,82355.74,-1.00332203
2024-11-11,80101.29,88500.0,89272.8,80101.28,10.48511204
2024-11-10,76730.0,80101.29,81000.04,76425.93,4.393705199999999
2024-11-09,76196.44,76730.0,76806.28,75800.0,0.7004144999999999
2024-11-08,75600.05,76196.31,77165.98,74253.03,0.44346222
2024-11-07,75108.41,75859.9,76600.0,74400.0,0.99774346
2024-11-06,69200.0,75110.49,75999.99,69200.0,8.54117052
2024-11-05,67749.89,69200.0,70440.0,67560.4,2.35081481
2024-11-04,68469.5,67610.6,69349.51,66914.8,-1.25436947
2024-11-03,69143.56,68469.46,69199.0,67500.0,-1.00702686
2024-11-02,69400.62,69165.98,69811.17,69129.0,-0.1666823999999999
2024-11-01,70588.0,69281.46,71434.1,68857.99,-1.85167477
2024-10-31,72299.98,70588.53,72500.0,69743.11,-2.36715142
2024-10-30,72700.0,72299.98,73000.0,71513.37,-0.60328188
2024-10-29,70130.74,72738.8,73592.15,69730.6,3.71882466
2024-10-28,68000.0,70130.76,70206.0,67600.31,2.98202643
2024-10-27,67249.99,68100.0,68216.0,66747.54,1.72997727
2024-10-26,66793.93,66941.92,67431.07,66463.0,0.73378257
2024-10-25,68253.96,66454.29,68725.0,65747.99,-2.41660793
2024-10-24,66712.01,68100.0,68590.0,66712.01,2.0805699
2024-10-23,67400.0,66712.01,67487.67,65432.01,-1.02075668
2024-10-22,67428.0,67400.0,67810.0,66600.0,-0.04152578
2024-10-21,68999.98,67428.0,69492.5,66900.0,-2.2782325400000003
2024-10-20,68345.99,68999.98,69220.0,68000.01,0.9568813
2024-10-19,68365.0,68345.99,68729.6,67920.0,-0.02780663
2024-10-18,67485.56,68365.0,68966.0,67108.38,1.30313784
2024-10-17,67540.0,67485.57,67907.46,66735.59,-0.06139764
2024-10-16,66820.32,67527.03,68234.97,66665.95,0.78811624
2024-10-15,65950.01,66999.0,67777.5,64999.99,1.20690278
2024-10-14,62700.03,66200.03,66403.82,62700.02,5.30798116
2024-10-13,63108.18,62863.26,63276.79,62000.0,-0.65352557
2024-10-12,62364.7,63276.79,63450.0,62326.35,1.53329797
2024-10-11,60364.63,62321.22,63250.0,60000.3,3.60657536
2024-10-10,60701.24,60151.8,61365.92,59001.0,-0.90515449
2024-10-09,62000.04,60701.24,62571.0,60500.0,-2.56622793
2024-10-08,62150.73,62300.0,62940.0,61801.54,0.1607556
2024-10-07,62700.96,62200.01,64200.0,62200.01,-0.40030424
2024-10-06,62000.0,62450.0,62949.99,61801.2,0.72580645
2024-10-05,62072.18,62000.0,62364.15,61778.62,-0.11628398
2024-10-04,60600.01,62072.18,62238.0,60501.0,1.85221102
2024-10-03,60650.0,60943.38,61241.17,60000.0,0.6496613299999999
2024-10-02,60847.33,60550.01,62238.0,60100.0,-0.48863278
2024-10-01,63000.26,60847.33,64100.0,60325.0,-3.72257911
2024-09-30,65635.93,63200.0,65635.93,63089.97,-3.71127521
2024-09-29,66033.81,65635.93,66033.81,65350.38,-0.6035031700000001
2024-09-28,65700.0,66034.45,66257.63,64620.0,0.18767803
2024-09-27,64998.25,65910.75,66382.5,64700.0,1.40388395
2024-09-26,63002.37,64998.25,65550.9,62874.12,3.16861571
2024-09-25,64127.19,63001.96,64556.0,63001.96,-1.81239332
2024-09-24,63201.27,64164.88,64556.0,62862.07,1.43309189
