date,open,close,high,low,volume,p_n_l
2020-12-31 16:00:00,28792.58,28408.72,28837.77,28327.78,13071.08,-1.3331907039938782
2020-12-31 17:00:00,28407.73,28603.1,28750.0,28378.1,9192.806,0.6877353452739764
2020-12-31 18:00:00,28601.52,28883.17,28923.71,28501.0,8127.876,0.9847378740710208
2020-12-31 19:00:00,28883.17,28917.08,29037.09,28761.52,8298.073,0.1174040107093629
2020-12-31 20:00:00,28917.08,29155.97,29180.99,28888.0,5985.123,0.8261207563142593
2020-12-31 21:00:00,29155.96,28990.83,29199.49,28915.96,7883.536,-0.5663679055671547
2020-12-31 22:00:00,28993.77,29125.25,29175.92,28920.07,4290.432,0.45347672965605906
2020-12-31 23:00:00,29123.18,28951.68,29133.36,28800.0,6908.52,-0.5888780002733218
2021-01-01 00:00:00,28948.19,29015.0,29055.0,28706.0,8037.588,0.2307916315320623
2021-01-01 01:00:00,29015.0,29448.4,29546.42,28975.46,19543.401,1.493710149922459
2021-01-01 02:00:00,29443.65,29237.06,29500.0,29159.16,10049.72,-0.7016453462800982
2021-01-01 03:00:00,29236.58,29302.11,29379.41,29174.95,5579.452,0.22413702286655565
2021-01-01 04:00:00,29302.11,29237.07,29422.32,29086.0,8351.683,-0.22196353777936426
2021-01-01 05:00:00,29237.06,29213.8,29249.31,29110.89,4199.729,-0.07955656280078105
2021-01-01 06:00:00,29213.8,29197.3,29283.0,29112.1,3977.249,-0.056480156638301075
2021-01-01 07:00:00,29198.01,29107.71,29214.96,28822.0,10153.425,-0.3092676521447841
2021-01-01 08:00:00,29107.72,29025.89,29190.0,28900.0,9141.397,-0.2811281680598884
2021-01-01 09:00:00,29025.9,29229.6,29333.12,29000.0,7225.092,0.7017870246917307
2021-01-01 10:00:00,29230.0,29259.29,29398.74,29188.0,5964.835,0.10020526855970192
2021-01-01 11:00:00,29259.3,29341.99,29454.45,29248.66,7231.306,0.28261099889608543
2021-01-01 12:00:00,29342.0,29257.82,29668.86,29158.11,21588.712,-0.28689250903142355
2021-01-01 13:00:00,29257.99,29493.66,29509.59,29238.39,8216.882,0.80548937230479
2021-01-01 14:00:00,29493.69,29354.58,29570.0,29280.32,8107.179,-0.4716602093532445
2021-01-01 15:00:00,29354.57,29210.84,29411.93,29043.75,11230.179,-0.4896341523653713
2021-01-01 16:00:00,29210.85,29324.21,29388.1,29152.2,6357.585,0.3880749789889736
2021-01-01 17:00:00,29324.21,29099.0,29368.53,28927.35,10867.198,-0.7680002291621807
2021-01-01 18:00:00,29099.0,29086.62,29300.0,28627.12,20168.624,-0.0425444173339325
2021-01-01 19:00:00,29086.62,29048.47,29150.0,28967.17,6274.763,-0.13115996289702211
2021-01-01 20:00:00,29048.48,29214.14,29299.06,28886.37,7608.538,0.5702880150699791
2021-01-01 21:00:00,29214.13,29177.77,29315.0,29160.0,3874.626,-0.12446032108435398
2021-01-01 22:00:00,29177.78,29270.89,29349.88,29118.4,4145.307,0.31911269466011666
2021-01-01 23:00:00,29275.64,29337.16,29350.0,29241.31,2821.928,0.21014058104280703
2021-01-02 00:00:00,29337.15,29215.89,29350.0,28958.24,11383.003,-0.4133325834309128
2021-01-02 01:00:00,29215.89,29380.0,29430.0,29114.22,7693.401,0.5617148750217795
2021-01-02 02:00:00,29380.0,29347.02,29500.0,29340.7,6230.851,-0.11225323349217005
2021-01-02 03:00:00,29347.02,29364.67,29402.59,29266.99,4118.911,0.0601423926517848
2021-01-02 04:00:00,29364.68,29363.03,29415.0,29230.0,4267.183,-0.005618995337260461
2021-01-02 05:00:00,29362.97,29628.65,29633.8,29362.96,9433.473,0.9048131030341968
2021-01-02 06:00:00,29628.64,29733.03,29800.0,29483.7,12171.545,0.3523280177557911
2021-01-02 07:00:00,29733.09,29777.33,29878.0,29648.0,11036.513,0.14879045534790228
2021-01-02 08:00:00,29778.77,29870.0,29898.58,29671.0,11105.298,0.30635919482235013
2021-01-02 09:00:00,29870.01,29642.1,29950.0,29600.02,15683.827,-0.7630061054549357
2021-01-02 10:00:00,29642.1,29708.25,29859.0,29491.09,12364.982,0.22316232655581575
2021-01-02 11:00:00,29708.24,29775.52,29810.0,29646.53,4936.05,0.22646915468569942
2021-01-02 12:00:00,29775.0,30660.12,30960.0,29759.68,55925.447,2.97269521410579
2021-01-02 13:00:00,30660.11,31616.51,31638.82,30570.0,40675.339,3.1193625854571225
2021-01-02 14:00:00,31610.71,31335.01,31675.04,31123.73,26720.425,-0.8721727541077082
2021-01-02 15:00:00,31337.87,31717.01,31873.02,31272.42,20893.218,1.209846106324391
2021-01-02 16:00:00,31720.79,32543.45,33126.67,31718.43,82408.607,2.5934410839074307
2021-01-02 17:00:00,32545.48,32904.2,33000.0,32431.87,21370.376,1.1022114284379814
2021-01-02 18:00:00,32904.2,33100.0,33480.0,32487.68,29214.312,0.5950608129053523
2021-01-02 19:00:00,33100.0,33115.41,33333.0,32743.02,20252.544,0.04655589123868124
2021-01-02 20:00:00,33115.41,30912.0,33146.49,30800.0,63891.835,-6.653730091217362
2021-01-02 21:00:00,30884.75,31722.66,31948.0,30528.0,40564.794,2.713021798784189
2021-01-02 22:00:00,31725.56,32171.14,32323.62,31465.77,15856.752,1.4044826947105051
2021-01-02 23:00:00,32171.14,32199.91,32277.11,31650.8,17342.394,0.08942797799518586
2021-01-03 00:00:00,32198.41,32478.69,32537.65,32000.02,12691.908,0.8704777658275635
2021-01-03 01:00:00,32475.94,32611.14,32832.88,32253.85,13146.43,0.4163081961599902
2021-01-03 02:00:00,32611.03,32765.99,32928.16,32590.79,6885.509,0.4751766503541984
2021-01-03 03:00:00,32765.99,32601.49,32784.72,32461.25,7972.746,-0.502044955760531
2021-01-03 04:00:00,32601.49,33256.95,33330.01,32472.0,12864.78,2.0105216049941137
2021-01-03 05:00:00,33257.0,33823.58,34220.0,33174.86,43260.623,1.7036413386655493
2021-01-03 06:00:00,33820.37,34016.77,34181.26,33715.0,16178.256,0.580715113406489
2021-01-03 07:00:00,34016.77,34472.24,34832.25,33801.0,38990.593,1.338957226097602
2021-01-03 08:00:00,34476.0,34420.0,34743.92,33800.0,28359.589,-0.16243183663998143
2021-01-03 09:00:00,34421.4,34239.04,34650.0,33864.0,22251.248,-0.529786702458356
2021-01-03 10:00:00,34235.43,33949.75,34402.06,33457.0,28898.441,-0.8344571690789346
2021-01-03 11:00:00,33945.43,34464.06,34499.53,33839.05,17190.829,1.5278345273575777
2021-01-03 12:00:00,34464.07,34156.94,34663.0,33941.2,19859.885,-0.8911599819754236
2021-01-03 13:00:00,34159.29,33939.02,34439.92,33838.56,15368.473,-0.6448319037076123
2021-01-03 14:00:00,33937.45,33903.75,34213.75,33551.0,19640.484,-0.09930033046088346
2021-01-03 15:00:00,33903.74,33540.46,33970.0,32826.35,39775.085,-1.0715042057306918
2021-01-03 16:00:00,33538.81,32742.51,33886.96,32675.0,27424.316,-2.3742643224371984
2021-01-03 17:00:00,32742.48,32979.98,33324.8,32530.37,28138.878,0.7253573950415596
2021-01-03 18:00:00,32979.98,32831.08,33097.07,32400.0,19648.921,-0.4514860227325833
2021-01-03 19:00:00,32831.09,32823.72,32992.2,32509.89,10792.227,-0.022448234280358477
2021-01-03 20:00:00,32823.72,33779.07,33912.53,32776.98,21968.134,2.9105476161751276
2021-01-03 21:00:00,33779.07,33625.0,33948.13,33561.0,7715.854,-0.4561108402333152
2021-01-03 22:00:00,33625.0,33209.99,33736.12,33057.0,11372.293,-1.2342304832713815
2021-01-03 23:00:00,33209.99,33054.53,33665.92,32703.33,17091.487,-0.468112155408656
2021-01-04 00:00:00,33053.93,32907.4,33165.0,32457.0,18343.601,-0.44330583382974076
2021-01-04 01:00:00,32907.39,33242.22,33378.0,32656.78,10317.378,1.0174918156681578
