date,open,close,high,low,p_n_l
2023-01-03 12:00:00,16714.2,16703.7,16721.2,16695.7,-0.0628208349786409
2023-01-03 13:00:00,16703.8,16718.1,16732.2,16703.7,0.0856092625630052
2023-01-03 14:00:00,16718.2,16653.1,16764.9,16633.0,-0.3893959876063342
2023-01-03 15:00:00,16653.1,16670.8,16674.9,16610.0,0.1062865172250255
2023-01-03 16:00:00,16670.9,16617.3,16680.1,16606.0,-0.3215183343430899
2023-01-03 17:00:00,16617.3,16626.0,16637.0,16600.3,0.0523550757343294
2023-01-03 18:00:00,16626.1,16637.7,16645.8,16621.2,0.0697698197412633
2023-01-03 19:00:00,16637.6,16637.7,16652.0,16615.1,0.0006010482281229
2023-01-03 20:00:00,16637.6,16656.1,16665.8,16636.0,0.1111939222003173
2023-01-03 21:00:00,16656.0,16658.8,16665.7,16652.4,0.0168107588856824
2023-01-03 22:00:00,16658.8,16670.1,16673.0,16642.9,0.0678320167118836
2023-01-03 23:00:00,16670.2,16667.2,16688.2,16660.2,-0.0179961848088205
2023-01-04 00:00:00,16667.3,16655.6,16668.4,16645.7,-0.0701973325013693
2023-01-04 01:00:00,16655.6,16696.1,16730.0,16652.3,0.2431614592089147
2023-01-04 02:00:00,16696.1,16729.0,16749.8,16695.5,0.1970520061571352
2023-01-04 03:00:00,16729.1,16855.9,16870.0,16729.0,0.757960679295377
2023-01-04 04:00:00,16855.9,16852.4,16904.4,16841.0,-0.0207642427873919
2023-01-04 05:00:00,16852.5,16848.3,16856.5,16832.3,-0.0249221183800666
2023-01-04 06:00:00,16848.3,16872.9,16872.9,16842.2,0.1460087961396828
2023-01-04 07:00:00,16872.8,16862.5,16885.4,16841.1,-0.0610449954957047
2023-01-04 08:00:00,16862.5,16857.1,16913.6,16826.7,-0.0320237212750271
2023-01-04 09:00:00,16857.1,16838.9,16860.4,16824.5,-0.1079663761856849
2023-01-04 10:00:00,16838.9,16838.0,16840.9,16826.1,-0.0053447671760118
2023-01-04 11:00:00,16837.9,16826.8,16847.4,16826.2,-0.0659227100766852
2023-01-04 12:00:00,16826.7,16808.0,16838.7,16800.1,-0.1111329018761891
2023-01-04 13:00:00,16808.0,16820.1,16829.8,16804.3,0.0719895287958028
2023-01-04 14:00:00,16820.2,16821.0,16852.1,16789.0,0.0047561860144306
2023-01-04 15:00:00,16820.9,16846.5,16850.4,16759.3,0.1521916187599863
2023-01-04 16:00:00,16846.5,16850.7,16890.8,16824.3,0.024930994568609
2023-01-04 17:00:00,16850.8,16885.4,16945.6,16841.8,0.2053314976143695
2023-01-04 18:00:00,16885.4,16942.0,16980.0,16864.0,0.3352008243808174
2023-01-04 19:00:00,16941.9,16835.9,16984.6,16777.7,-0.6256677232187652
2023-01-04 20:00:00,16835.9,16801.2,16844.2,16766.0,-0.2061071876169419
2023-01-04 21:00:00,16801.1,16819.4,16820.4,16789.1,0.1089214396676581
2023-01-04 22:00:00,16819.3,16818.7,16837.2,16808.5,-0.0035673303882952
2023-01-04 23:00:00,16818.7,16842.1,16860.9,16807.3,0.1391308484008741
2023-01-05 00:00:00,16842.2,16819.9,16869.0,16817.4,-0.1324055052190288
2023-01-05 01:00:00,16819.8,16825.0,16842.5,16800.0,0.0309159443037415
2023-01-05 02:00:00,16825.0,16827.9,16836.6,16816.9,0.017236255572074
2023-01-05 03:00:00,16827.9,16819.0,16828.3,16810.3,-0.0528883580244799
2023-01-05 04:00:00,16819.0,16829.1,16834.7,16815.0,0.0600511326475922
2023-01-05 05:00:00,16829.0,16836.1,16840.7,16829.0,0.0421890783766031
2023-01-05 06:00:00,16836.2,16810.5,16836.2,16804.4,-0.1526472719497316
2023-01-05 07:00:00,16810.4,16816.1,16816.7,16782.4,0.0339075810212552
2023-01-05 08:00:00,16816.1,16799.9,16822.0,16786.5,-0.0963362491897472
2023-01-05 09:00:00,16799.9,16800.6,16806.0,16775.1,0.0041666914683842
2023-01-05 10:00:00,16800.7,16816.4,16829.0,16798.2,0.0934484872654158
2023-01-05 11:00:00,16816.4,16827.0,16830.0,16807.9,0.0630337051925414
2023-01-05 12:00:00,16827.0,16813.6,16827.0,16807.9,-0.0796339216735095
2023-01-05 13:00:00,16813.6,16771.1,16821.1,16770.1,-0.2527715658752438
2023-01-05 14:00:00,16771.0,16822.6,16829.0,16740.4,0.3076739610041055
2023-01-05 15:00:00,16822.6,16836.6,16872.8,16817.0,0.0832213807615945
2023-01-05 16:00:00,16836.7,16833.0,16856.8,16816.0,-0.0219758028592344
2023-01-05 17:00:00,16833.0,16806.8,16839.8,16806.7,-0.1556466464682512
2023-01-05 18:00:00,16806.8,16837.0,16840.0,16794.0,0.1796891734298065
2023-01-05 19:00:00,16837.0,16856.4,16867.8,16821.0,0.1152224267981318
2023-01-05 20:00:00,16856.3,16852.8,16863.4,16839.4,-0.0207637500519093
2023-01-05 21:00:00,16852.8,16840.0,16857.8,16827.6,-0.0759517706256484
2023-01-05 22:00:00,16840.0,16829.9,16848.6,16825.3,-0.0599762470308702
2023-01-05 23:00:00,16829.9,16823.8,16838.4,16810.0,-0.0362450163102703
2023-01-06 00:00:00,16823.8,16852.1,16865.0,16818.9,0.1682140776756694
2023-01-06 01:00:00,16852.1,16818.1,16854.7,16812.3,-0.2017552708564511
2023-01-06 02:00:00,16818.1,16828.8,16831.2,16795.6,0.0636219311337233
2023-01-06 03:00:00,16828.8,16825.1,16834.2,16820.0,-0.0219861190340412
2023-01-06 04:00:00,16825.0,16814.3,16828.0,16796.3,-0.0635958395245214
2023-01-06 05:00:00,16814.4,16801.4,16814.4,16778.3,-0.0773146826529641
2023-01-06 06:00:00,16801.3,16779.1,16807.3,16773.0,-0.1321326325939107
2023-01-06 07:00:00,16779.2,16785.6,16796.5,16773.4,0.0381424620959152
2023-01-06 08:00:00,16785.6,16792.8,16805.3,16785.6,0.0428939090649171
2023-01-06 09:00:00,16792.7,16781.2,16792.8,16755.0,-0.0684821380719002
2023-01-06 10:00:00,16781.3,16760.2,16796.8,16755.3,-0.1257351933401974
2023-01-06 11:00:00,16760.2,16731.4,16764.1,16685.2,-0.1718356582856963
2023-01-06 12:00:00,16731.5,16724.4,16742.6,16712.0,-0.0424349281295672
2023-01-06 13:00:00,16724.3,16766.9,16812.6,16664.8,0.2547191810718666
2023-01-06 14:00:00,16766.9,16742.9,16784.0,16715.0,-0.1431391610852334
2023-01-06 15:00:00,16743.0,16834.2,16843.0,16743.0,0.5447052499552095
2023-01-06 16:00:00,16834.1,16820.6,16846.3,16801.6,-0.0801943673852478
2023-01-06 17:00:00,16820.5,16814.9,16836.8,16805.0,-0.0332927083023604
2023-01-06 18:00:00,16815.0,16841.5,16858.6,16814.9,0.1575973832887303
2023-01-06 19:00:00,16841.6,16932.6,16960.0,16837.7,0.5403287098612959
2023-01-06 20:00:00,16932.7,16888.7,17030.0,16881.0,-0.2598522385679779
2023-01-06 21:00:00,16888.6,16922.9,16943.4,16881.8,0.2030955792665047
2023-01-06 22:00:00,16923.0,16948.8,16958.9,16922.9,0.1524552384328976
2023-01-06 23:00:00,16948.8,16943.8,16974.4,16935.0,-0.0295006136127631
2023-01-07 00:00:00,16943.9,16970.0,16970.0,16924.8,0.154037736294469
2023-01-07 01:00:00,16969.9,16941.1,16973.6,16935.2,-0.1697122552283921
2023-01-07 02:00:00,16941.1,16935.0,16947.4,16927.9,-0.0360071069765159
2023-01-07 03:00:00,16934.9,16944.4,16948.1,16929.5,0.056097172112029
2023-01-07 04:00:00,16944.3,16930.0,16945.0,16928.0,-0.0843941620485902
2023-01-07 05:00:00,16930.0,16926.9,16933.2,16925.2,-0.0183106910809128
2023-01-07 06:00:00,16926.8,16925.1,16930.0,16915.8,-0.0100432450315519
2023-01-07 07:00:00,16925.1,16939.8,16940.9,16925.1,0.086853253451978
